heat_treat,uts,yield_strength
1,295,165
2,330,285
1,305,170
2,340,285
1,325,180
2,365,305
1,330,185
2,370,310
1,345,190
2,385,325
1,380,205
2,420,350
1,365,200
2,405,340
1,400,220
2,440,370
1,405,225
2,455,380
1,380,205
2,420,350
1,420,230
2,470,395
1,425,235
2,475,400
1,385,215
2,425,360
1,400,220
2,440,370
1,440,240
2,490,415
1,470,260
2,525,440
1,495,270
2,550,460
1,510,280
2,565,475
1,515,285
2,570,485
1,545,300
2,605,510
1,525,290
2,585,490
1,550,305
2,615,515
2,585,505
1,565,310
2,625,530
2,600,515
1,550,305
1,565,310
2,625,530
2,585,505
1,585,325
2,650,545
2,620,515
1,600,330
2,670,560
2,635,530
1,620,340
2,690,580
2,655,550
1,650,355
2,660,560
1,675,370
4,620,485
1,670,370
4,615,475
1,690,380
4,635,490
1,705,385
4,640,495
1,725,400
4,650,505
1,690,380
4,650,500
1,770,425
5,675,515
1,820,450
5,690,530
1,835,460
5,695,540
1,770,425
5,670,510
1,840,460
5,695,540
1,825,455
5,680,525
1,345,190
2,385,325
1,345,190
2,385,325
1,425,235
2,475,400
1,450,250
2,495,420
1,425,235
2,475,400
1,570,315
2,635,530
1,605,330
2,675,565
1,545,300
2,605,510
1,650,355
2,725,605
1,670,365
2,745,620
1,585,325
2,650,550
1,585,325
2,650,550
1,635,350
2,705,595
1,380,230
2,515,400
1,385,230
2,540,415
1,385,230
2,540,415
1,395,235
2,540,415
3,834,558
4,703,434
1,510,285
2,565,475
1,515,285
2,570,485
1,570,315
2,635,535
1,635,350
2,705,600
4,650,550
1,650,360
2,710,605
4,655,585
1,660,365
2,735,615
4,645,540
1,745,410
4,675,570
3,889,600
4,690,420
3,670,435
4,560,460
6,"1040",979
3,"1020",655
4,655,915
6,"1075",986
3,116,731
4,731,380
7,"1310","1215"
3,793,460
4,580,425
3,"1282",862
4,745,470
7,"1207","1145"
3,515,350
4,450,330
4,570,365
4,510,370
3,758,485
4,685,460
3,793,470
4,570,290
7,972,841
3,869,530
4,675,360
7,"1055","1000"
3,"1025",650
4,724,275
7,"1145","1005"
3,938,615
4,670,415
7,"1200","1160"
3,635,360
4,540,385
3,650,425
4,565,370
6,931,850
3,"1025",690
4,715,385
7,"1185","1105"
3,931,605
4,696,415
7,"1225","1130"
3,931,580
4,779,485
7,"1130",924
3,910,570
4,820,450
